SubjID x02 x03 x04 x05 x06 x07 x08 x09 x10 x11 x12 x13 x14 x15 x16 x17 x01 Patterns FreqPatterns initial_gik1 initial_gik2 final_gik1 final_gik2
101001 3 1 2 1 1 4 2 1 1 1 2 1 1 1 2 1 1 31211421112111211 1 0.5 0.5 0.7245 0.2755
101002 2 1 2 1 1 4 3 1 1 2 2 1 1 1 2 1 1 21211431122111211 3 0.5 0.5 0.6259 0.3741
101003 1 1 1 2 2 3 4 1 1 2 3 1 1 1 2 1 1 11122341123111211 1 0.5 0.5 0.5749 0.4251
101004 3 1 2 1 1 4 3 1 1 1 1 2 1 1 2 1 1 31211431111211211 1 0.5 0.5 0.367 0.633
101005 3 1 3 3 1 4 2 1 1 2 2 2 1 1 2 2 1 31331421122211221 1 0.5 0.5 0.3052 0.6948
101006 1 1 1 2 2 2 2 1 1 2 1 1 1 1 2 1 1 11122221121111211 1 0.5 0.5 0.758 0.242
101007 2 1 1 1 1 2 3 1 1 1 1 1 1 1 2 1 1 21111231111111211 1 0.5 0.5 0.5981 0.4019
101008 1 3 2 1 1 3 3 1 1 1 2 1 2 2 1 1 1 13211331112122111 1 0.5 0.5 0.8636 0.1364
101009 1 1 3 3 3 1 3 1 1 2 1 2 1 1 2 1 1 11333131121211211 1 0.5 0.5 0 1
101010 3 1 1 1 1 3 5 1 1 1 4 1 1 1 2 1 1 31111351114111211 1 0.5 0.5 0.686 0.314
101011 2 1 1 2 2 4 2 1 1 2 4 1 1 1 2 2 1 21122421124111221 1 0.5 0.5 0.7106 0.2894
101012 1 1 1 2 2 1 5 1 1 2 2 1 1 1 2 1 1 11122151122111211 1 0.5 0.5 0.755 0.245
101013 3 1 1 1 1 3 2 1 2 2 2 1 1 1 2 2 1 31111321222111221 1 0.5 0.5 0.7969 0.2031
101014 1 1 1 2 2 2 3 1 1 1 4 1 1 1 2 1 1 11122231114111211 1 0.5 0.5 0.6559 0.3441
101015 2 1 2 2 2 4 2 1 1 2 3 1 1 1 2 2 1 21222421123111221 1 0.5 0.5 0.7696 0.2304
101016 3 1 2 1 1 3 3 1 2 2 1 1 1 1 2 1 1 31211331221111211 1 0.5 0.5 0.6854 0.3146
101017 2 2 1 4 2 4 3 1 1 1 1 2 1 1 2 1 1 22142431111211211 1 0.5 0.5 0 1
101018 3 1 2 4 4 3 4 1 1 1 1 2 1 1 2 1 1 31244341111211211 1 0.5 0.5 0 1
101019 3 1 2 3 3 4 4 1 1 1 1 2 1 1 2 1 1 31233441111211211 2 0.5 0.5 0 1
101020 3 2 2 4 3 4 3 1 2 1 2 2 1 1 2 1 1 32243431212211211 1 0.5 0.5 0 1
101021 1 1 1 3 3 4 3 1 1 1 2 2 1 1 2 1 1 11133431112211211 1 0.5 0.5 0 1
101022 3 1 2 3 3 4 3 1 1 2 1 2 1 1 2 1 1 31233431121211211 1 0.5 0.5 0 1
101023 3 1 1 3 3 1 3 1 1 2 2 2 1 1 2 1 1 31133131122211211 1 0.5 0.5 0 1
101024 2 2 2 4 3 1 4 1 1 2 1 2 1 1 2 2 1 22243141121211221 1 0.5 0.5 0 1
101025 3 1 1 3 3 4 3 1 1 1 2 2 1 3 2 2 1 31133431112213221 1 0.5 0.5 0 1
101026 3 1 1 1 1 4 3 1 1 2 1 2 1 1 2 2 1 31111431121211221 1 0.5 0.5 0.3623 0.6377
101027 3 1 1 3 3 3 4 1 1 2 2 2 1 1 2 2 1 31133341122211221 1 0.5 0.5 0 1
101028 2 2 2 4 3 1 3 1 1 1 1 2 1 1 2 1 1 22243131111211211 1 0.5 0.5 0 1
101029 3 1 1 3 3 3 2 1 1 1 1 2 1 1 2 2 1 31133321111211221 1 0.5 0.5 0.1652 0.8348
101030 3 1 1 3 3 1 2 1 1 2 1 2 1 1 2 2 1 31133121121211221 1 0.5 0.5 0.191 0.809
101031 1 2 3 4 3 4 3 1 1 2 1 2 1 1 2 1 1 12343431121211211 1 0.5 0.5 0 1
101032 3 1 1 3 3 1 3 1 1 1 1 2 1 1 2 2 1 31133131111211221 1 0.5 0.5 0 1
101033 2 2 1 4 1 2 3 1 1 1 1 2 1 1 2 2 1 22141231111211221 1 0.5 0.5 0.1616 0.8384
101034 3 2 1 4 3 4 2 1 1 1 1 2 1 1 2 1 1 32143421111211211 1 0.5 0.5 0.1224 0.8776
101035 3 1 3 3 3 3 5 1 1 1 1 2 1 1 2 2 1 31333351111211221 1 0.5 0.5 0 1
101036 3 2 1 4 2 3 4 1 1 2 2 2 1 1 2 2 1 32142341122211221 1 0.5 0.5 0 1
101037 2 1 1 3 3 1 4 1 1 2 2 1 1 1 2 2 1 21133141122111221 1 0.5 0.5 0 1
101038 3 1 1 3 3 2 3 1 1 2 4 1 1 1 2 2 1 31133231124111221 1 0.5 0.5 0 1
