SubjID etnia regiao idade genero filhos animais Patterns FreqPatterns initial_gik1 initial_gik2 initial_gik3 final_gik1 final_gik2 final_gik3
10001001 4 2 2 1 1 4 422114 1 0.3333 0.3333 0.3333 0.3915 0 0.6085
10001002 1 4 3 2 3 4 143234 1 0.3333 0.3333 0.3333 0.211 0.3966 0.3924
10001003 2 5 2 2 5 4 252254 1 0.3333 0.3333 0.3333 0.6667 0 0.3333
10001004 2 2 2 1 1 2 222112 1 0.3333 0.3333 0.3333 0.3915 0 0.6085
10001005 1 2 4 3 1 4 124314 1 0.3333 0.3333 0.3333 0.5676 0.4324 0
10001006 4 1 2 1 1 4 412114 1 0.3333 0.3333 0.3333 0.4919 0 0.5081
10001007 3 5 5 1 2 1 355121 1 0.3333 0.3333 0.3333 0.5729 0.2579 0.1693
10001008 1 3 5 2 4 4 135244 1 0.3333 0.3333 0.3333 0.3838 0.3873 0.2289
10001009 2 1 3 1 1 3 213113 1 0.3333 0.3333 0.3333 1 0 0
10001010 3 3 4 2 3 2 334232 1 0.3333 0.3333 0.3333 0 0 1
10001011 2 3 1 4 1 2 231412 1 0.3333 0.3333 0.3333 0.472 0 0.528
10001012 4 4 3 1 2 1 443121 1 0.3333 0.3333 0.3333 0 0.6096 0.3904
10001013 3 1 5 1 3 2 315132 1 0.3333 0.3333 0.3333 0.4418 0 0.5582
10001014 1 2 4 1 2 1 124121 1 0.3333 0.3333 0.3333 0 0.6426 0.3574
10001015 5 2 3 1 1 4 523114 1 0.3333 0.3333 0.3333 1 0 0
10001016 3 1 4 2 1 3 314213 1 0.3333 0.3333 0.3333 0 0.305 0.695
10001017 2 3 1 2 2 3 231223 1 0.3333 0.3333 0.3333 0.4377 0.3333 0.2291
10001018 3 5 2 3 4 2 352342 1 0.3333 0.3333 0.3333 0.2647 0.3557 0.3796
10001019 4 2 5 3 5 4 425354 1 0.3333 0.3333 0.3333 0.7826 0 0.2174
10001020 4 3 2 1 2 2 432122 1 0.3333 0.3333 0.3333 0 0.2851 0.7149
10001021 2 1 2 1 3 1 212131 1 0.3333 0.3333 0.3333 0.3582 0 0.6418
10001022 4 3 2 1 1 1 432111 1 0.3333 0.3333 0.3333 0 0 1
10001023 1 3 4 1 3 2 134132 1 0.3333 0.3333 0.3333 0 0.3419 0.6581
10001024 4 3 1 1 2 3 431123 1 0.3333 0.3333 0.3333 0.3282 0.4061 0.2656
10001025 3 2 2 2 1 1 322211 1 0.3333 0.3333 0.3333 0 0 1
10001026 2 3 4 3 1 3 234313 1 0.3333 0.3333 0.3333 0.5166 0.4834 0
10001027 1 4 2 1 3 4 142134 1 0.3333 0.3333 0.3333 0.2348 0.497 0.2682
10001028 2 2 2 2 2 2 222222 1 0.3333 0.3333 0.3333 0.1949 0.1998 0.6053
10001029 1 3 2 1 3 3 132133 1 0.3333 0.3333 0.3333 0 0.5978 0.4022
10001030 4 3 3 4 3 2 433432 1 0.3333 0.3333 0.3333 0 0 1
10001031 1 2 2 2 1 1 122211 1 0.3333 0.3333 0.3333 0 0.2115 0.7885
10001032 2 2 2 1 2 2 222122 1 0.3333 0.3333 0.3333 0.2989 0.2467 0.4544
10001033 1 2 2 1 2 1 122121 1 0.3333 0.3333 0.3333 0 0.5819 0.4181
10001034 2 3 2 1 1 1 232111 1 0.3333 0.3333 0.3333 0.3751 0 0.6249
10001035 3 3 2 3 4 4 332344 1 0.3333 0.3333 0.3333 0.3548 0.4611 0.1841
10001036 4 4 3 2 4 2 443242 1 0.3333 0.3333 0.3333 0 0.4028 0.5972
10001037 1 5 2 1 1 3 152113 1 0.3333 0.3333 0.3333 0.4802 0.5198 0
10001038 4 3 2 2 1 1 432211 1 0.3333 0.3333 0.3333 0 0 1
10001039 1 1 3 1 2 1 113121 1 0.3333 0.3333 0.3333 0 1 0
10001040 2 2 1 1 3 3 221133 1 0.3333 0.3333 0.3333 0.7584 0 0.2416
10001041 1 2 2 3 1 2 122312 1 0.3333 0.3333 0.3333 0 0.387 0.613
10001042 4 4 2 3 3 4 442334 1 0.3333 0.3333 0.3333 0.2048 0.3589 0.4363
10001043 2 1 2 2 1 2 212212 1 0.3333 0.3333 0.3333 0.3155 0 0.6845
10001044 4 1 2 1 4 1 412141 1 0.3333 0.3333 0.3333 0 0.4373 0.5627
10001045 1 3 4 3 3 2 134332 1 0.3333 0.3333 0.3333 0 0.493 0.507
10001046 2 5 2 1 1 3 252113 1 0.3333 0.3333 0.3333 0.7094 0.2618 0.0288
10001047 1 1 1 2 1 4 111214 1 0.3333 0.3333 0.3333 0.5825 0.1921 0.2254
10001048 4 1 2 1 2 4 412124 1 0.3333 0.3333 0.3333 0.3393 0.3288 0.3319
10001049 1 2 4 3 4 3 124343 1 0.3333 0.3333 0.3333 0 0.8137 0.1863
10001050 2 3 5 2 4 1 235241 1 0.3333 0.3333 0.3333 0.3771 0.227 0.3959
10001051 1 1 4 3 2 2 114322 1 0.3333 0.3333 0.3333 0 0.7849 0.2151
10001052 2 4 1 3 4 3 241343 1 0.3333 0.3333 0.3333 0.4048 0.5952 0
10001053 2 5 2 1 4 1 252141 1 0.3333 0.3333 0.3333 0.4392 0.4295 0.1313
10001054 3 2 2 3 3 4 322334 1 0.3333 0.3333 0.3333 0.4466 0 0.5534
10001055 1 2 5 3 4 3 125343 1 0.3333 0.3333 0.3333 0.4048 0.5952 0
10001056 3 2 5 1 3 1 325131 1 0.3333 0.3333 0.3333 0.3436 0 0.6564
10001057 2 3 5 3 1 2 235312 1 0.3333 0.3333 0.3333 0.7198 0 0.2802
10001058 2 3 2 3 5 3 232353 1 0.3333 0.3333 0.3333 0.5166 0.4834 0
10001059 3 2 4 1 1 2 324112 2 0.3333 0.3333 0.3333 0 0 1
10001060 1 1 2 2 1 4 112214 2 0.3333 0.3333 0.3333 0.3359 0.2633 0.4008
10001061 4 2 4 3 4 4 424344 2 0.3333 0.3333 0.3333 0.2653 0.4037 0.331
10001062 1 4 2 3 2 3 142323 1 0.3333 0.3333 0.3333 0 1 0
10001063 4 1 1 2 3 1 411231 1 0.3333 0.3333 0.3333 0.2381 0 0.7619
10001064 4 3 5 3 1 1 435311 1 0.3333 0.3333 0.3333 0.472 0 0.528
10001065 3 4 2 2 2 1 342221 1 0.3333 0.3333 0.3333 0 0.4353 0.5647
10001066 3 2 5 3 3 2 325332 1 0.3333 0.3333 0.3333 0.4466 0 0.5534
10001067 1 4 5 3 1 4 145314 1 0.3333 0.3333 0.3333 0.5676 0.4324 0
10001068 1 4 2 3 2 4 142324 1 0.3333 0.3333 0.3333 0.1842 0.8158 0
10001069 2 1 4 2 3 1 214231 1 0.3333 0.3333 0.3333 0.2381 0 0.7619
10001070 3 3 3 2 5 1 333251 1 0.3333 0.3333 0.3333 0.2888 0 0.7112
10001071 2 5 1 1 5 3 251153 1 0.3333 0.3333 0.3333 1 0 0
10001072 4 3 3 1 1 4 433114 1 0.3333 0.3333 0.3333 0.5741 0 0.4259
10001073 3 4 3 2 4 1 343241 1 0.3333 0.3333 0.3333 0 0.4548 0.5452
10001074 2 4 2 1 3 1 242131 1 0.3333 0.3333 0.3333 0.2365 0.2956 0.4679
10001075 2 1 5 1 5 4 215154 1 0.3333 0.3333 0.3333 1 0 0
10001076 1 2 4 2 4 3 124243 1 0.3333 0.3333 0.3333 0 0.6233 0.3767
10001077 4 1 2 2 2 3 412223 1 0.3333 0.3333 0.3333 0 0.5079 0.4921
10001078 3 4 4 1 2 2 344122 1 0.3333 0.3333 0.3333 0 0.5395 0.4605
10001079 3 1 2 2 5 3 312253 3 0.3333 0.3333 0.3333 0.3971 0.15 0.453
10001080 3 3 1 3 5 4 331354 3 0.3333 0.3333 0.3333 1 0 0
10001081 2 1 3 1 4 4 213144 5 0.3333 0.3333 0.3333 0.7474 0.2526 0
