SubjID etnia regiao idade genero filhos animais Patterns FreqPatterns initial_gik1 initial_gik2 initial_gik3 initial_gik4 final_gik1 final_gik2 final_gik3 final_gik4
10001001 4 2 2 1 1 4 422114 1 0.25 0.25 0.25 0.25 0.7095 0.2905 0 0
10001002 1 4 3 2 3 4 143234 1 0.25 0.25 0.25 0.25 0.2389 0.7611 0 0
10001003 2 5 2 2 5 4 252254 1 0.25 0.25 0.25 0.25 0 0.3803 0.2621 0.3576
10001004 2 2 2 1 1 2 222112 1 0.25 0.25 0.25 0.25 0.4313 0 0.5687 0
10001005 1 2 4 3 1 4 124314 1 0.25 0.25 0.25 0.25 0 0 1 0
10001006 4 1 2 1 1 4 412114 1 0.25 0.25 0.25 0.25 0.3905 0.6095 0 0
10001007 3 5 5 1 2 1 355121 1 0.25 0.25 0.25 0.25 0.3198 0 0.4298 0.2504
10001008 1 3 5 2 4 4 135244 1 0.25 0.25 0.25 0.25 0 0.4391 0 0.5609
10001009 2 1 3 1 1 3 213113 1 0.25 0.25 0.25 0.25 0 1 0 0
10001010 3 3 4 2 3 2 334232 1 0.25 0.25 0.25 0.25 0.1442 0 0.4567 0.3991
10001011 2 3 1 4 1 2 231412 1 0.25 0.25 0.25 0.25 0 0 0.5537 0.4463
10001012 4 4 3 1 2 1 443121 1 0.25 0.25 0.25 0.25 0.4027 0.2892 0.3081 0
10001013 3 1 5 1 3 2 315132 1 0.25 0.25 0.25 0.25 0.2743 0.2085 0.2592 0.2581
10001014 1 2 4 1 2 1 124121 1 0.25 0.25 0.25 0.25 0.3106 0 0.6894 0
10001015 5 2 3 1 1 4 523114 1 0.25 0.25 0.25 0.25 0 0 1 0
10001016 3 1 4 2 1 3 314213 1 0.25 0.25 0.25 0.25 0 0.434 0.2403 0.3257
10001017 2 3 1 2 2 3 231223 1 0.25 0.25 0.25 0.25 0 0 0.3632 0.6368
10001018 3 5 2 3 4 2 352342 1 0.25 0.25 0.25 0.25 0 0.3859 0.4094 0.2046
10001019 4 2 5 3 5 4 425354 1 0.25 0.25 0.25 0.25 0.3883 0 0 0.6117
10001020 4 3 2 1 2 2 432122 1 0.25 0.25 0.25 0.25 0.399 0 0.601 0
10001021 2 1 2 1 3 1 212131 1 0.25 0.25 0.25 0.25 0.5085 0.4915 0 0
10001022 4 3 2 1 1 1 432111 1 0.25 0.25 0.25 0.25 0.8333 0 0 0.1667
10001023 1 3 4 1 3 2 134132 1 0.25 0.25 0.25 0.25 0 0 1 0
10001024 4 3 1 1 2 3 431123 1 0.25 0.25 0.25 0.25 0.2414 0 0.2906 0.468
10001025 3 2 2 2 1 1 322211 1 0.25 0.25 0.25 0.25 0.8052 0 0 0.1948
10001026 2 3 4 3 1 3 234313 1 0.25 0.25 0.25 0.25 0 0.2115 0.6569 0.1316
10001027 1 4 2 1 3 4 142134 1 0.25 0.25 0.25 0.25 0.2567 0.7433 0 0
10001028 2 2 2 2 2 2 222222 1 0.25 0.25 0.25 0.25 0.4492 0 0.5508 0
10001029 1 3 2 1 3 3 132133 1 0.25 0.25 0.25 0.25 0.2961 0.4997 0 0.2042
10001030 4 3 3 4 3 2 433432 1 0.25 0.25 0.25 0.25 0.295 0 0.3613 0.3437
10001031 1 2 2 2 1 1 122211 1 0.25 0.25 0.25 0.25 0.7416 0.2584 0 0
10001032 2 2 2 1 2 2 222122 1 0.25 0.25 0.25 0.25 0.3106 0 0.6894 0
10001033 1 2 2 1 2 1 122121 1 0.25 0.25 0.25 0.25 0.5543 0 0.4457 0
10001034 2 3 2 1 1 1 232111 1 0.25 0.25 0.25 0.25 0.5113 0 0.4887 0
10001035 3 3 2 3 4 4 332344 1 0.25 0.25 0.25 0.25 0 0.4606 0 0.5394
10001036 4 4 3 2 4 2 443242 1 0.25 0.25 0.25 0.25 0.2573 0.5265 0.2162 0
10001037 1 5 2 1 1 3 152113 1 0.25 0.25 0.25 0.25 0 0.6334 0.3666 0
10001038 4 3 2 2 1 1 432211 1 0.25 0.25 0.25 0.25 0.8052 0 0 0.1948
10001039 1 1 3 1 2 1 113121 1 0.25 0.25 0.25 0.25 0.2019 0.3942 0.4039 0
10001040 2 2 1 1 3 3 221133 1 0.25 0.25 0.25 0.25 0.431 0.3513 0 0.2177
10001041 1 2 2 3 1 2 122312 1 0.25 0.25 0.25 0.25 0.263 0.0965 0.6405 0
10001042 4 4 2 3 3 4 442334 1 0.25 0.25 0.25 0.25 0.3997 0.6003 0 0
10001043 2 1 2 2 1 2 212212 1 0.25 0.25 0.25 0.25 0.0411 0.6847 0.2743 0
10001044 4 1 2 1 4 1 412141 1 0.25 0.25 0.25 0.25 0.5085 0.4915 0 0
10001045 1 3 4 3 3 2 134332 1 0.25 0.25 0.25 0.25 0 0 1 0
