Variable,Level,n,perc,k1,k2,k1_perc_lj,k2_perc_lj
x02,l1,101,22.247,0.291,0.1224,1.3081,0.5502
x02,l2,128,28.194,0.277,0.2895,0.9825,1.0268
x02,l3,225,49.559,0.4321,0.5881,0.8719,1.1867
x03,l1,364,80.176,0.9006,0.6458,1.1233,0.8055
x03,l2,63,13.877,0.0,0.3542,0.0,2.5525
x03,l3,27,5.947,0.0994,0.0,1.6714,0.0
x04,l1,206,45.374,0.3984,0.5376,0.878,1.1848
x04,l2,235,51.762,0.6016,0.3915,1.1622,0.7563
x04,l3,13,2.863,0.0,0.071,0.0,2.4795
x05,l1,228,50.22,0.8305,0.0,1.6537,0.0
x05,l2,46,10.132,0.1695,0.0,1.6729,0.0
x05,l3,112,24.67,0.0,0.624,0.0,2.5294
x05,l4,68,14.978,0.0,0.376,0.0,2.5104
x06,l1,232,51.101,0.8272,0.0,1.6187,0.0
x06,l2,57,12.555,0.1728,0.0542,1.3763,0.4317
x06,l3,155,34.141,0.0,0.891,0.0,2.6098
x06,l4,10,2.203,0.0,0.0547,0.0,2.4834
x07,l1,114,25.11,0.3023,0.1785,1.2039,0.7109
x07,l2,113,24.89,0.2909,0.1892,1.1687,0.7601
x07,l3,113,24.89,0.2411,0.2601,0.9687,1.045
x07,l4,114,25.11,0.1657,0.3723,0.6599,1.4827
x08,l1,13,2.863,0.0477,0.0,1.6658,0.0
x08,l2,191,42.07,0.6537,0.0,1.5538,0.0
x08,l3,181,39.868,0.285,0.6188,0.7149,1.5521
x08,l4,64,14.097,0.0,0.3736,0.0,2.6502
x08,l5,5,1.101,0.0136,0.0076,1.2349,0.6901
x09,l1,441,97.137,0.9671,0.9776,0.9956,1.0064
x09,l2,13,2.863,0.0329,0.0224,1.149,0.7823
x10,l1,388,85.463,0.7964,0.9403,0.9319,1.1002
x10,l2,66,14.537,0.2036,0.0597,1.4005,0.4107
x11,l1,217,47.797,0.4478,0.5229,0.9369,1.094
x11,l2,237,52.203,0.5522,0.4771,1.0578,0.9139
x12,l1,175,38.546,0.3053,0.5094,0.792,1.3215
x12,l2,150,33.04,0.3437,0.3072,1.0403,0.9298
x12,l3,80,17.621,0.2354,0.087,1.3359,0.4937
x12,l4,49,10.793,0.1155,0.0965,1.0701,0.8941
x13,l1,305,67.181,1.0,0.2474,1.4885,0.3683
x13,l2,149,32.819,0.0,0.7526,0.0,2.2932
x14,l1,415,91.41,0.8557,1.0,0.9361,1.094
x14,l2,39,8.59,0.1443,0.0,1.6798,0.0
x15,l1,398,87.665,0.8021,0.9868,0.915,1.1256
x15,l2,48,10.573,0.1773,0.0,1.677,0.0
x15,l3,8,1.762,0.0206,0.0132,1.169,0.7491
x16,l1,40,8.811,0.1481,0.0,1.6809,0.0
x16,l2,414,91.189,0.8519,1.0,0.9342,1.0966
x17,l1,289,63.656,0.6061,0.6815,0.9521,1.0706
x17,l2,165,36.344,0.3939,0.3185,1.0838,0.8764
x01,l1,112,24.67,0.0,0.5459,0.0,2.2128
x01,l2,342,75.33,1.0,0.4541,1.3275,0.6028
