SubjID  , etnia, regiao, idade, genero, filhos, animais
10001001,     4,      2,     2,      1,      1,       4
10001002,     1,      4,     3,      2,      3,       4
10001003,     2,      5,     2,      2,      5,       4
10001004,     2,      2,     2,      1,      1,       2
10001005,     1,      2,     4,      3,      1,       4
10001006,     4,      1,     2,      1,      1,       4
10001007,     3,      5,     5,      1,      2,       1
10001008,     1,      3,     5,      2,      4,       4
10001009,     2,      1,     3,      1,      1,       3
10001010,     3,      3,     4,      2,      3,       2
10001011,     2,      3,     1,      4,      1,       2
10001012,     4,      4,     3,      1,      2,       1
10001013,     3,      1,     5,      1,      3,       2
10001014,     1,      2,     4,      1,      2,       1
10001015,     5,      2,     3,      1,      1,       4
10001016,     3,      1,     4,      2,      1,       3
10001017,     2,      3,     1,      2,      2,       3
10001018,     3,      5,     2,      3,      4,       2
10001019,     4,      2,     5,      3,      5,       4
10001020,     4,      3,     2,      1,      2,       2
10001021,     2,      1,     2,      1,      3,       1
10001022,     4,      3,     2,      1,      1,       1
10001023,     1,      3,     4,      1,      3,       2
10001024,     4,      3,     1,      1,      2,       3
10001025,     3,      2,     2,      2,      1,       1
10001026,     2,      3,     4,      3,      1,       3
10001027,     1,      4,     2,      1,      3,       4
10001028,     2,      2,     2,      2,      2,       2
10001029,     1,      3,     2,      1,      3,       3
10001030,     4,      3,     3,      4,      3,       2
10001031,     1,      2,     2,      2,      1,       1
10001032,     2,      2,     2,      1,      2,       2
10001033,     1,      2,     2,      1,      2,       1
10001034,     2,      3,     2,      1,      1,       1
10001035,     3,      3,     2,      3,      4,       4
10001036,     4,      4,     3,      2,      4,       2
10001037,     1,      5,     2,      1,      1,       3
10001038,     4,      3,     2,      2,      1,       1
10001039,     1,      1,     3,      1,      2,       1
10001040,     2,      2,     1,      1,      3,       3
10001041,     1,      2,     2,      3,      1,       2
10001042,     4,      4,     2,      3,      3,       4
10001043,     2,      1,     2,      2,      1,       2
10001044,     4,      1,     2,      1,      4,       1
10001045,     1,      3,     4,      3,      3,       2
10001046,     2,      5,     2,      1,      1,       3
10001047,     1,      1,     1,      2,      1,       4
10001048,     4,      1,     2,      1,      2,       4
10001049,     1,      2,     4,      3,      4,       3
10001050,     2,      3,     5,      2,      4,       1
10001051,     1,      1,     4,      3,      2,       2
10001052,     2,      4,     1,      3,      4,       3
10001053,     2,      5,     2,      1,      4,       1
10001054,     3,      2,     2,      3,      3,       4
10001055,     1,      2,     5,      3,      4,       3
10001056,     3,      2,     5,      1,      3,       1
10001057,     2,      3,     5,      3,      1,       2
10001058,     2,      3,     2,      3,      5,       3
10001059,     3,      2,     4,      1,      1,       2
10001060,     1,      1,     2,      2,      1,       4
10001061,     4,      2,     4,      3,      4,       4
10001062,     1,      4,     2,      3,      2,       3
10001063,     4,      1,     1,      2,      3,       1
10001064,     4,      3,     5,      3,      1,       1
10001065,     3,      4,     2,      2,      2,       1
10001066,     3,      2,     5,      3,      3,       2
10001067,     1,      4,     5,      3,      1,       4
10001068,     1,      4,     2,      3,      2,       4
10001069,     2,      1,     4,      2,      3,       1
10001070,     3,      3,     3,      2,      5,       1
10001071,     2,      5,     1,      1,      5,       3
10001072,     4,      3,     3,      1,      1,       4
10001073,     3,      4,     3,      2,      4,       1
10001074,     2,      4,     2,      1,      3,       1
10001075,     2,      1,     5,      1,      5,       4
10001076,     1,      2,     4,      2,      4,       3
10001077,     4,      1,     2,      2,      2,       3
10001078,     3,      4,     4,      1,      2,       2
10001079,     3,      1,     2,      2,      5,       3
10001080,     3,      3,     1,      3,      5,       4
10001081,     2,      1,     3,      1,      4,       4
10001082,     1,      4,     2,      3,      4,       3
10001083,     4,      2,     2,      2,      1,       1
10001084,     1,      1,     2,      3,      4,       3
10001085,     1,      5,     4,      1,      4,       4
10001086,     1,      5,     3,      3,      5,       4
10001087,     1,      3,     3,      3,      1,       3
10001088,     3,      2,     5,      1,      5,       4
10001089,     1,      4,     3,      2,      4,       2
10001090,     3,      3,     5,      3,      5,       3
10001091,     4,      1,     5,      3,      3,       4
10001092,     4,      3,     3,      1,      3,       2
10001093,     1,      3,     4,      3,      3,       1
10001094,     2,      2,     4,      3,      2,       4
10001095,     2,      2,     5,      1,      1,       3
10001096,     2,      4,     2,      1,      1,       1
10001097,     3,      2,     3,      2,      3,       4
10001098,     1,      4,     3,      1,      4,       1
10001099,     1,      1,     2,      3,      5,       2
10001100,     2,      4,     2,      2,      3,       4
10001101,     1,      3,     4,      2,      1,       2
10001102,     2,      3,     4,      1,      1,       2
10001103,     4,      1,     2,      2,      5,       1
10001104,     1,      2,     3,      1,      3,       1
10001105,     2,      1,     1,      1,      3,       4
10001106,     1,      4,     3,      1,      5,       3
10001107,     2,      2,     3,      1,      1,       2
10001108,     3,      3,     1,      2,      1,       1
10001109,     1,      1,     2,      3,      1,       4
10001110,     1,      3,     2,      1,      4,       3
10001111,     4,      2,     4,      2,      4,       2
10001112,     4,      4,     1,      1,      2,       1
10001113,     3,      1,     2,      2,      5,       3
10001114,     3,      3,     1,      3,      5,       4
10001115,     2,      1,     3,      1,      4,       4
10001116,     1,      4,     2,      3,      4,       3
10001117,     4,      2,     2,      2,      1,       1
10001118,     1,      1,     2,      3,      4,       3
10001119,     1,      5,     4,      1,      4,       4
10001120,     1,      5,     3,      3,      5,       4
10001121,     1,      3,     3,      3,      1,       3
10001122,     3,      2,     5,      1,      5,       4
10001123,     1,      4,     3,      2,      4,       2
10001124,     3,      3,     5,      3,      5,       3
10001125,     4,      1,     5,      3,      3,       4
10001126,     4,      3,     3,      1,      3,       2
10001127,     1,      3,     4,      3,      3,       1
